,home_team,away_team,home_team_betting,away_team_betting
0,Arsenal,Wolves,1.30,9.68
1,Aston Villa,Brighton,1.89,3.84
2,Brentford,Manchester City,3.42,2.15
3,Chelsea,Newcastle,2.83,2.39
4,Crystal Palace,Nottingham,1.61,5.58
5,Everton,Bournemouth,1.61,5.52
6,Leeds,Tottenham,2.78,2.38
7,Leicester,West Ham,2.09,3.29
8,Manchester Utd,Fulham,1.49,6.04
9,Southampton,Liverpool,6.02,1.49
10,Manchester Utd,Chelsea,1.57,5.86
11,Brighton,Manchester City,3.88,1.86
12,Newcastle,Leicester,1.31,9.40
13,Manchester City,Chelsea,1.59,6.04
14,Brighton,Southampton,1.22,12.92
15,West Ham,Leeds,2.59,2.75
16,Nottingham,Arsenal,5.27,1.65
17,Bournemouth,Manchester Utd,7.25,1.42
18,Fulham,Crystal Palace,2.37,3.26
19,Liverpool,Aston Villa,1.50,6.23
20,Bournemouth,Leeds,2.48,2.97
21,Fulham,Manchester City,10.99,1.28
22,Manchester Utd,Aston Villa,1.75,4.51
23,Brentford,Nottingham,1.73,5.16
24,Brighton,Wolves,1.56,6.25
25,Crystal Palace,West Ham,2.61,2.95
26,Tottenham,Manchester Utd,2.88,2.37
27,Everton,Newcastle,4.59,1.82
28,Southampton,Bournemouth,2.52,2.99
29,Manchester City,Arsenal,1.65,5.29
30,Chelsea,Brentford,1.79,4.89
31,West Ham,Liverpool,3.66,1.98
32,Nottingham,Brighton,5.58,1.61
33,Leeds,Leicester,2.39,3.00
34,Aston Villa,Fulham,1.75,4.85
35,Wolves,Crystal Palace,2.35,3.54
36,Bournemouth,West Ham,3.01,2.52
37,Newcastle,Tottenham,1.93,4.06
38,Brentford,Aston Villa,2.65,2.84
39,Crystal Palace,Everton,1.98,4.31
40,Everton,Tottenham,3.87,2.09
41,Newcastle,Manchester Utd,2.37,3.08
42,West Ham,Southampton,1.77,5.01
43,Chelsea,Aston Villa,1.63,6.03
44,Arsenal,Leeds,1.28,10.50
45,Bournemouth,Fulham,2.59,2.91
46,Brighton,Brentford,1.63,5.54
47,Crystal Palace,Leicester,2.39,3.20
48,Nottingham,Wolves,3.34,2.41
49,Manchester City,Liverpool,1.68,5.06
50,Arsenal,Crystal Palace,1.27,12.15
51,Chelsea,Everton,1.50,7.86
52,Aston Villa,Bournemouth,1.73,5.03
53,Brentford,Leicester,1.88,4.11
54,Southampton,Tottenham,4.54,1.85
55,Wolves,Leeds,2.34,3.30
56,Nottingham,Newcastle,5.49,1.71
57,Brighton,Crystal Palace,1.39,8.97
58,Southampton,Brentford,3.28,2.38
59,Newcastle,Wolves,1.65,5.92
60,Manchester Utd,Leicester,1.57,5.75
61,Newcastle,Liverpool,2.55,2.84
62,Brentford,Crystal Palace,1.81,4.80
63,Brighton,Fulham,1.55,6.28
64,Chelsea,Southampton,1.44,7.97
65,Everton,Leeds,2.74,2.78
66,Nottingham,Manchester City,10.62,1.32
67,Wolves,Bournemouth,1.82,4.77
68,Aston Villa,Arsenal,4.41,1.87
69,Arsenal,Manchester City,3.29,2.28
70,Liverpool,Everton,1.59,5.92
71,Manchester City,Aston Villa,1.33,9.64
72,Leeds,Manchester Utd,3.80,1.96
73,Bournemouth,Newcastle,5.93,1.62
74,Arsenal,Brentford,1.53,6.68
75,Crystal Palace,Brighton,4.72,1.82
76,Fulham,Nottingham,1.94,4.29
77,Leicester,Tottenham,3.55,2.06
78,Southampton,Wolves,3.09,2.51
79,West Ham,Chelsea,3.51,2.22
80,Wolves,West Ham,2.51,3.07
81,Manchester Utd,Manchester City,4.00,1.89
82,Aston Villa,Leeds,2.04,3.80
83,Fulham,Chelsea,4.04,2.03
84,Chelsea,Manchester City,5.26,1.66
85,Aston Villa,Wolves,1.96,4.17
86,Crystal Palace,Tottenham,3.34,2.26
87,Leeds,West Ham,2.90,2.53
88,Southampton,Nottingham,2.38,3.18
89,Manchester Utd,Bournemouth,1.27,11.51
90,Arsenal,Newcastle,1.77,4.77
91,Everton,Brighton,3.21,2.36
92,Leicester,Fulham,2.37,2.99
93,Brentford,Liverpool,6.18,1.53
94,Nottingham,Chelsea,5.82,1.62
95,Tottenham,Aston Villa,1.66,5.17
96,Brighton,Arsenal,4.36,1.87
97,Bournemouth,Crystal Palace,2.95,2.62
98,Fulham,Southampton,1.84,4.38
99,Manchester City,Everton,1.15,19.46
100,Leeds,Bournemouth,1.65,5.30
101,Manchester City,Fulham,1.18,15.47
102,Nottingham,Brentford,2.65,2.88
103,Wolves,Brighton,3.61,2.18
104,Manchester Utd,West Ham,1.72,5.00
105,Arsenal,Nottingham,1.23,13.33
106,Liverpool,Leeds,1.24,11.69
107,Fulham,Everton,2.29,3.25
108,Bournemouth,Tottenham,5.07,1.75
109,Brentford,Wolves,2.17,3.44
110,Brighton,Chelsea,3.12,2.38
111,Crystal Palace,Southampton,2.07,3.81
112,Newcastle,Aston Villa,1.77,4.66
113,Leicester,Manchester City,7.53,1.42
114,West Ham,Bournemouth,1.61,5.87
115,Tottenham,Newcastle,2.23,3.35
116,Aston Villa,Brentford,2.08,3.68
117,Leeds,Fulham,2.09,3.47
118,Southampton,Arsenal,6.77,1.48
119,Wolves,Leicester,2.36,3.18
120,Bournemouth,Leicester,3.30,2.22
121,Manchester City,Southampton,1.13,20.02
122,Newcastle,Brentford,1.69,5.11
123,Leicester,Nottingham,1.72,4.73
124,Leeds,Aston Villa,2.42,3.04
125,Manchester City,Manchester Utd,1.45,6.52
126,West Ham,Wolves,2.04,3.98
127,Bournemouth,Brentford,3.21,2.27
128,Crystal Palace,Chelsea,4.80,1.77
129,Fulham,Newcastle,2.93,2.48
130,Liverpool,Brighton,1.48,6.62
131,Southampton,Everton,2.33,3.26
132,Arsenal,Tottenham,2.00,3.78
133,Everton,West Ham,2.92,2.54
134,Brentford,Arsenal,4.50,1.80
135,Tottenham,Leicester,1.53,6.26
136,Newcastle,Bournemouth,1.43,7.77
137,Wolves,Manchester City,8.96,1.34
138,Aston Villa,Southampton,2.08,3.65
139,Nottingham,Fulham,2.80,2.58
140,Manchester Utd,Liverpool,4.65,1.70
141,Newcastle,Manchester City,6.86,1.46
142,Leeds,Chelsea,5.95,1.53
143,West Ham,Brighton,2.51,2.93
144,Bournemouth,Arsenal,7.49,1.44
145,Crystal Palace,Aston Villa,2.50,3.07
146,Everton,Nottingham,1.91,4.33
147,Fulham,Brentford,2.68,2.73
148,Leicester,Southampton,1.78,4.33
149,Tottenham,Wolves,1.44,7.30
